,Income,Dt_Customer,Recency,WinesProducts,FruitsProducts,MeatProducts,FishProducts,SweetProducts,GoldProducts,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue,Response,Spending,Total_Purchase,NumberofChildren,TotalCampaignsAcc,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widow
52,27938.0,5,31,13,0,8,2,1,5,3,0,3,11,0,29,6,1,0,0,1,0,0,0,0,1,0
53,55954.0,7,63,447,0,28,0,0,43,7,0,3,11,0,518,19,1,0,0,0,0,1,0,1,0,0
54,75777.0,15,12,712,26,538,69,13,80,1,0,3,11,1,1438,21,0,2,0,0,1,0,0,0,1,0
55,66653.0,25,18,452,18,102,16,18,6,3,0,3,11,0,612,22,2,0,0,1,0,0,0,1,0,0
56,61823.0,19,26,523,7,134,37,14,169,7,0,3,11,0,884,24,1,0,0,1,0,0,0,0,1,0
57,67680.0,16,8,546,0,48,0,6,6,5,0,3,11,0,606,19,1,0,0,0,0,1,0,0,0,1
58,70666.0,10,29,398,40,367,119,122,30,4,0,3,11,0,1076,16,0,0,0,1,0,0,0,1,0,0
59,25721.0,16,75,1,3,6,3,6,15,7,0,3,11,1,34,5,1,0,0,1,0,0,0,1,0,0
60,32474.0,4,0,10,0,1,0,0,0,7,0,3,11,0,11,4,2,0,0,1,0,0,0,1,0,0
61,88194.0,6,19,688,14,309,201,24,38,5,0,3,11,1,1274,32,1,2,0,0,1,0,0,0,1,0
62,69096.0,12,4,247,49,159,7,82,109,4,0,3,11,0,653,18,1,0,0,1,0,0,0,1,0,0
63,74854.0,18,90,856,59,487,58,29,73,5,0,3,11,0,1562,19,3,0,0,1,0,0,0,1,0,0
64,66991.0,25,1,496,36,460,189,60,12,3,0,3,11,0,1253,21,0,0,0,0,1,0,0,1,0,0
65,65031.0,18,29,258,107,291,84,37,86,7,0,3,11,0,863,30,1,0,0,1,0,0,0,1,0,0
66,60631.0,18,88,565,6,65,0,6,19,7,0,3,11,0,661,24,2,1,0,0,0,1,0,1,0,0
67,28332.0,5,58,14,10,13,4,15,9,2,0,3,11,0,65,8,0,0,0,1,0,0,0,1,0,0
68,40246.0,21,68,2,1,6,2,1,1,6,0,3,11,0,13,4,1,0,0,1,0,0,1,0,0,0
69,75251.0,25,34,721,111,925,97,18,18,5,0,3,11,1,1890,19,0,0,0,0,1,0,0,1,0,0
70,75825.0,24,40,1032,105,779,137,105,51,4,0,3,11,1,2209,22,0,1,0,1,0,0,0,0,1,0
71,26326.0,13,12,1,0,5,0,3,9,3,1,3,11,0,18,4,0,0,0,0,1,0,0,1,0,0
72,56046.0,21,9,577,0,64,0,0,51,8,0,3,11,1,692,21,0,1,0,1,0,0,0,1,0,0
73,29760.0,25,87,64,4,68,7,5,17,8,0,3,11,0,165,12,1,0,0,1,0,0,0,0,1,0
74,26304.0,15,5,4,1,5,2,0,4,7,0,3,11,0,16,4,1,0,0,1,0,0,0,1,0,0
75,23559.0,15,87,25,5,19,7,0,23,7,0,3,11,0,79,9,1,0,0,0,1,0,0,1,0,0
76,38620.0,17,56,112,17,44,34,22,89,3,0,3,11,0,318,11,0,0,0,0,1,0,0,1,0,0
77,81361.0,7,18,163,23,424,27,65,76,1,0,3,11,0,778,27,0,0,0,1,0,0,1,0,0,0
78,29440.0,13,95,17,8,14,10,4,3,7,0,3,11,0,56,7,2,0,0,1,0,0,0,1,0,0
79,36138.0,14,48,130,0,16,0,0,5,7,0,3,11,0,151,13,2,1,0,0,1,0,0,1,0,0
80,50388.0,4,3,292,6,37,0,3,34,7,0,3,11,1,372,17,1,2,0,1,0,0,0,0,1,0
81,79593.0,4,70,350,60,568,110,133,145,2,0,3,11,0,1366,19,0,1,0,1,0,0,0,1,0,0
82,54178.0,8,79,135,9,39,4,0,7,2,0,3,11,0,194,10,1,0,0,1,0,0,0,1,0,0
83,42394.0,6,69,15,2,10,0,1,4,7,0,3,11,0,32,5,1,0,0,0,1,0,0,0,1,0
84,23626.0,4,84,27,2,14,0,0,0,5,0,3,11,0,43,10,1,0,0,0,0,1,0,1,0,0
85,30096.0,4,30,5,3,11,12,5,9,6,0,3,11,0,45,6,1,0,0,1,0,0,0,1,0,0
86,47916.0,22,72,505,0,26,0,0,75,6,0,3,11,0,606,22,1,1,0,1,0,0,0,0,0,1
87,51813.0,18,37,51,2,7,0,1,2,7,0,3,11,0,63,7,2,0,0,1,0,0,1,0,0,0
88,78497.0,10,44,207,26,447,75,0,223,2,0,3,11,0,978,25,0,1,0,0,1,0,0,1,0,0
89,50150.0,15,32,135,46,92,65,61,11,5,0,3,11,0,410,16,0,0,0,0,0,1,0,1,0,0
90,47823.0,14,0,53,1,5,2,1,10,8,0,3,11,0,72,7,1,0,0,0,1,0,0,0,1,0
91,34554.0,6,43,41,1,6,2,0,5,6,0,3,11,0,55,7,1,0,0,0,0,1,0,0,1,0
92,85693.0,17,59,386,172,183,185,132,111,5,0,3,11,0,1169,27,1,0,0,1,0,0,0,1,0,0
93,65846.0,16,68,562,81,276,80,40,81,4,0,3,11,0,1120,16,0,0,0,0,0,1,0,1,0,0
94,87195.0,4,35,217,76,690,50,26,38,1,0,3,11,1,1097,20,0,0,0,1,0,0,0,1,0,0
95,24594.0,9,94,1,3,6,10,0,9,5,0,3,11,0,29,5,1,0,1,0,0,0,0,1,0,0
96,49096.0,12,15,144,1,32,2,1,7,7,0,3,11,0,187,13,2,0,0,1,0,0,0,1,0,0
97,52413.0,20,56,295,106,271,75,98,65,6,0,3,11,0,910,26,2,0,0,1,0,0,0,1,0,0
98,38557.0,21,17,76,3,31,4,4,27,7,0,3,11,0,145,9,1,0,0,1,0,0,0,0,1,0
99,89058.0,22,18,454,194,106,31,22,43,2,0,3,11,0,850,14,0,0,0,0,1,0,0,1,0,0
100,77298.0,11,46,425,115,292,23,35,79,3,0,3,11,0,969,24,1,0,0,1,0,0,0,1,0,0
101,68126.0,23,40,1332,17,311,23,51,86,9,0,3,11,1,1820,17,0,1,0,0,0,1,0,0,1,0
102,57288.0,3,27,527,0,21,0,0,60,6,0,3,11,0,608,20,1,1,0,0,1,0,0,1,0,0
103,86037.0,21,95,490,44,125,29,20,22,3,0,3,11,1,730,25,0,2,0,1,0,0,0,0,1,0
104,43974.0,22,19,378,0,101,0,0,72,7,0,3,11,0,551,21,1,0,0,0,0,1,0,1,0,0
105,50785.0,12,27,64,1,21,0,1,27,6,0,3,11,0,114,8,2,0,0,1,0,0,0,0,1,0
106,90765.0,8,25,547,99,812,151,82,33,1,0,3,11,0,1724,15,0,2,0,1,0,0,0,1,0,0
107,36550.0,19,74,47,90,94,123,103,120,9,0,3,11,0,577,20,1,0,0,0,1,0,0,1,0,0
108,30753.0,15,85,12,5,25,0,9,30,5,0,3,11,0,81,7,2,0,0,0,1,0,0,1,0,0
109,21918.0,10,37,1,6,7,11,5,3,6,0,3,11,0,33,7,1,0,0,1,0,0,0,1,0,0
110,56129.0,15,65,320,48,133,39,72,48,4,0,3,11,0,660,22,1,0,0,0,1,0,0,1,0,0
111,32557.0,7,13,34,3,29,0,4,10,5,0,3,11,1,80,9,1,0,0,0,1,0,0,0,1,0
112,19510.0,13,63,9,0,7,3,4,7,7,0,3,11,0,30,6,2,0,0,0,1,0,0,1,0,0
113,30992.0,17,83,17,0,14,7,3,2,7,0,3,11,0,43,5,1,0,0,1,0,0,1,0,0,0
114,101970.0,19,69,722,27,102,44,72,168,2,0,3,11,1,1135,27,0,3,0,1,0,0,0,0,1,0
115,71488.0,19,87,162,33,124,40,28,172,1,0,3,11,0,559,16,0,0,0,0,1,0,0,1,0,0
116,79607.0,17,37,450,133,951,173,0,216,1,0,3,11,1,1923,16,0,0,0,1,0,0,0,0,1,0
117,54348.0,3,51,70,0,16,0,0,4,6,0,3,11,0,90,8,2,0,0,0,1,0,0,1,0,0
118,77376.0,4,72,492,19,110,16,12,12,4,0,3,11,0,661,23,2,0,0,0,0,1,0,1,0,0
119,62998.0,12,10,120,58,73,65,89,58,5,0,3,11,0,463,19,1,0,0,1,0,0,0,1,0,0
120,61331.0,19,42,534,5,47,0,5,41,8,0,3,11,0,632,23,2,0,0,0,1,0,0,0,1,0
121,73448.0,7,10,236,106,189,23,41,130,4,0,3,11,0,725,19,0,0,0,1,0,0,0,1,0,0
122,41551.0,13,51,220,0,33,3,0,23,8,0,3,11,0,279,16,2,0,0,0,0,1,0,1,0,0
123,62981.0,18,21,796,14,590,38,44,0,3,0,3,11,0,1482,23,0,1,0,0,0,1,0,1,0,0
124,9548.0,26,31,0,1,3,10,6,9,8,0,3,11,0,29,6,1,0,1,0,0,0,1,0,0,0
125,33762.0,15,61,53,1,34,2,0,16,8,0,3,11,0,106,9,3,0,0,0,0,1,0,1,0,0
126,35860.0,4,37,15,0,8,4,2,20,5,0,3,11,1,49,6,2,1,0,0,0,1,0,0,1,0
127,36921.0,14,74,17,1,12,3,1,4,7,0,3,11,0,38,7,2,0,0,0,0,1,1,0,0,0
128,92859.0,23,46,962,61,921,52,61,20,2,0,3,11,0,2077,22,0,0,0,0,1,0,0,0,1,0
129,65104.0,10,4,738,0,232,13,20,50,7,0,3,11,1,1053,17,1,0,0,0,1,0,0,1,0,0
130,86111.0,17,73,399,28,756,36,40,126,2,0,3,11,0,1385,23,0,0,0,1,0,0,0,1,0,0
131,68352.0,13,47,614,16,132,43,33,33,6,0,3,11,0,871,25,1,0,0,0,0,1,0,0,1,0
132,41883.0,18,13,32,34,41,73,16,116,7,0,3,11,0,312,12,1,0,0,1,0,0,0,1,0,0
133,59809.0,23,36,598,16,141,32,41,49,8,0,3,11,0,877,15,2,0,0,1,0,0,0,1,0,0
134,23957.0,23,47,2,1,18,20,11,16,6,0,3,11,1,68,6,1,0,0,1,0,0,0,1,0,0
135,38547.0,13,49,6,1,10,0,1,4,8,1,3,11,0,22,4,1,0,0,1,0,0,0,1,0,0
136,35688.0,25,94,73,3,90,12,1,32,8,0,3,11,0,211,16,3,0,0,0,1,0,0,1,0,0
137,49605.0,3,65,42,16,29,12,20,8,3,0,3,11,0,127,8,0,0,0,0,1,0,0,1,0,0
138,59354.0,5,59,295,21,78,39,13,13,3,0,3,11,0,459,16,2,0,0,0,1,0,0,1,0,0
139,65747.0,7,96,346,17,48,23,13,13,6,0,3,11,0,460,19,1,1,0,1,0,0,0,1,0,0
140,46344.0,22,28,233,20,57,8,20,91,7,0,3,11,0,429,17,1,0,0,0,1,0,0,1,0,0
141,34176.0,4,12,5,7,24,19,14,20,6,0,3,11,0,89,11,1,0,0,1,0,0,0,0,1,0
142,61010.0,24,57,888,0,57,0,0,76,5,0,3,11,0,1021,26,1,0,0,0,0,1,0,1,0,0
143,69372.0,19,10,997,26,269,34,13,42,4,0,3,11,1,1381,21,0,2,0,1,0,0,0,1,0,0
144,49967.0,15,4,212,6,69,4,12,3,7,0,3,11,0,306,15,1,0,0,1,0,0,0,0,1,0
145,60199.0,12,49,8,1,7,2,0,0,4,0,3,11,0,18,4,3,0,0,1,0,0,0,0,1,0
146,55375.0,11,3,42,11,57,10,28,14,2,0,3,11,0,162,9,1,0,0,1,0,0,0,1,0,0
147,80317.0,13,64,536,11,387,149,91,57,1,0,3,11,0,1231,18,0,0,0,1,0,0,0,0,1,0
148,30523.0,15,0,5,0,3,0,0,5,7,0,3,11,0,13,4,3,0,0,0,1,0,0,0,1,0
149,70356.0,23,20,1349,16,249,43,16,33,6,0,3,11,0,1706,27,0,0,0,0,0,1,0,1,0,0
150,23228.0,9,91,53,3,49,7,4,5,8,0,3,11,0,121,11,1,0,0,1,0,0,0,1,0,0
151,74165.0,17,9,1001,12,240,16,12,12,2,0,3,11,0,1293,20,0,0,0,0,0,1,1,0,0,0
152,43482.0,10,83,18,1,32,6,3,28,6,0,3,11,0,88,9,3,0,0,1,0,0,0,1,0,0
153,62551.0,10,27,125,16,98,134,21,27,3,0,3,11,0,421,18,0,1,0,1,0,0,1,0,0,0
154,52332.0,13,63,212,5,33,7,0,2,4,0,3,11,0,259,12,0,1,0,1,0,0,1,0,0,0
155,66951.0,11,46,277,162,305,173,76,124,1,0,3,11,0,1117,15,0,0,0,1,0,0,0,0,1,0
156,26091.0,7,84,15,10,19,8,17,20,5,0,3,11,0,89,9,2,0,0,1,0,0,0,1,0,0
157,33456.0,5,58,7,3,10,8,1,7,7,0,3,11,0,36,6,2,0,0,1,0,0,0,1,0,0
158,28718.0,14,78,12,4,6,11,8,16,8,0,3,11,0,57,7,1,0,0,1,0,0,0,1,0,0
159,50447.0,5,4,85,7,24,2,3,27,6,0,3,11,0,148,8,2,0,0,1,0,0,0,1,0,0
160,53537.0,8,17,81,0,6,0,0,6,5,0,3,11,0,93,8,2,0,0,0,0,1,0,1,0,0
161,52074.0,6,77,59,0,12,0,0,48,4,0,3,11,0,119,7,1,1,0,1,0,0,0,0,1,0
162,80427.0,25,56,1149,71,449,69,71,26,5,0,3,11,0,1835,28,1,0,0,0,0,1,0,1,0,0
163,83837.0,21,79,847,66,119,86,89,111,4,0,3,11,1,1318,25,0,2,0,0,0,1,0,1,0,0
164,38853.0,4,90,29,0,14,0,0,2,7,0,3,11,0,45,7,2,0,0,0,0,1,0,1,0,0
165,38285.0,3,96,2,0,5,2,0,1,2,0,3,11,0,10,4,3,0,0,1,0,0,0,1,0,0
166,78497.0,10,44,207,26,447,75,0,223,2,0,3,11,0,978,25,0,1,0,0,1,0,0,1,0,0
167,51650.0,4,81,152,3,22,2,5,7,5,0,3,11,0,191,10,1,0,0,0,0,1,0,1,0,0
168,16248.0,4,77,12,11,10,3,12,9,6,0,3,11,0,57,9,1,0,0,0,1,0,0,1,0,0
169,66835.0,12,21,620,26,195,34,17,141,2,0,3,11,0,1033,24,0,0,0,0,1,0,0,1,0,0
170,30477.0,8,16,47,1,6,0,0,12,6,0,3,11,0,66,6,1,0,0,0,1,0,0,1,0,0
171,28249.0,3,80,1,9,7,2,14,10,6,0,3,11,0,43,6,0,0,1,0,0,0,0,1,0,0
172,25271.0,22,45,10,1,18,10,4,7,9,0,3,11,0,50,5,1,0,0,1,0,0,0,1,0,0
173,32303.0,7,63,35,0,2,0,0,2,5,0,3,11,0,39,7,1,0,0,0,0,1,0,0,1,0
174,61286.0,14,34,356,0,107,19,9,117,5,0,3,11,0,608,18,1,0,0,1,0,0,0,1,0,0
175,74068.0,18,14,783,30,537,140,76,15,2,0,3,11,0,1581,24,0,0,0,1,0,0,0,1,0,0
176,45759.0,19,13,42,1,18,3,0,4,7,0,3,11,0,68,7,2,0,0,0,0,1,0,1,0,0
177,24882.0,25,52,1,4,10,29,0,36,6,0,3,11,0,80,5,1,1,1,0,0,0,0,1,0,0
178,66973.0,16,98,466,22,432,147,113,102,3,0,3,11,0,1282,28,0,0,0,0,0,1,0,1,0,0
179,38872.0,16,93,23,3,21,3,19,22,8,0,3,11,0,91,8,1,0,0,1,0,0,0,1,0,0
180,51148.0,19,38,235,6,45,8,9,12,6,0,3,11,0,315,16,2,0,0,1,0,0,0,1,0,0
181,31353.0,9,24,10,0,10,3,1,7,8,0,3,11,0,31,6,2,0,0,1,0,0,0,1,0,0
182,69661.0,4,80,656,16,106,32,16,8,3,0,3,11,0,834,23,0,0,0,0,1,0,0,1,0,0
183,80067.0,12,82,519,17,813,27,173,51,2,0,3,11,0,1600,17,0,1,0,1,0,0,0,1,0,0
184,86718.0,20,20,344,189,482,50,33,172,2,0,3,11,0,1270,17,0,0,0,1,0,0,0,1,0,0
185,46854.0,6,81,96,1,79,7,1,79,8,0,3,11,1,263,15,2,1,0,0,0,1,0,0,1,0
186,69142.0,3,50,448,4,34,6,4,39,5,0,3,11,0,535,19,1,1,0,1,0,0,1,0,0,0
187,75922.0,9,60,265,138,553,224,23,92,1,0,3,11,0,1295,18,0,0,0,1,0,0,0,0,1,0
188,63693.0,11,63,587,43,337,42,87,54,6,0,3,11,0,1150,29,1,0,0,1,0,0,1,0,0,0
189,102160.0,23,54,763,29,138,76,176,58,4,0,3,11,1,1240,26,0,3,0,0,0,1,0,1,0,0
190,40637.0,14,72,22,0,13,0,0,3,7,0,3,11,0,38,6,2,0,0,0,0,1,0,0,1,0
191,18890.0,23,5,6,4,1,7,2,15,6,0,3,11,1,35,4,0,1,0,0,1,0,0,0,1,0
192,29604.0,10,88,7,6,13,7,6,14,9,0,3,11,0,53,5,1,1,0,1,0,0,0,1,0,0
193,48721.0,16,50,81,18,113,47,13,21,6,0,3,11,0,293,17,2,0,0,0,1,0,1,0,0,0
194,44794.0,3,99,54,0,7,0,0,4,6,0,3,11,0,65,6,1,0,0,1,0,0,0,1,0,0
195,64497.0,25,17,1170,48,320,42,32,192,8,0,3,11,1,1804,29,1,1,0,1,0,0,1,0,0,0
196,46097.0,18,11,72,24,68,65,4,8,4,0,3,11,0,241,15,1,0,0,1,0,0,0,1,0,0
197,77972.0,6,18,613,22,319,33,102,12,1,0,3,11,0,1101,20,0,0,0,1,0,0,0,1,0,0
198,44377.0,24,70,224,0,30,0,0,10,8,0,3,11,0,264,19,2,0,0,0,0,1,0,1,0,0
199,46014.0,20,21,410,0,59,19,9,44,7,0,3,11,0,541,26,2,0,0,0,1,0,0,1,0,0
200,70951.0,17,66,239,10,554,254,87,54,1,0,3,11,0,1198,17,0,0,0,1,0,0,0,1,0,0
201,41443.0,6,79,171,7,171,25,19,89,8,0,3,11,0,482,20,1,0,0,1,0,0,0,1,0,0
202,52195.0,4,2,12,0,4,0,0,1,8,0,3,11,0,17,4,3,0,0,0,1,0,0,0,1,0
203,83790.0,10,81,1076,16,417,42,48,16,3,0,3,11,0,1615,25,0,2,0,0,1,0,0,1,0,0
204,44551.0,13,24,182,4,33,0,0,66,7,0,3,11,0,285,12,1,0,0,0,1,0,0,0,0,1
205,69508.0,23,48,824,32,162,42,32,43,6,0,3,11,0,1135,28,1,0,0,1,0,0,0,1,0,0
206,45204.0,5,93,30,11,25,29,1,18,3,0,3,11,0,114,7,1,0,0,0,1,0,0,1,0,0
207,72460.0,10,56,377,10,540,80,30,10,1,0,3,11,0,1047,16,0,0,0,1,0,0,0,1,0,0
208,77622.0,5,3,520,7,154,19,0,14,3,0,3,11,0,714,22,2,0,0,0,0,1,0,1,0,0
209,30732.0,21,44,155,1,25,0,1,3,8,0,3,11,0,185,13,1,0,0,0,0,1,0,1,0,0
210,63887.0,25,38,897,23,207,15,11,92,6,0,3,11,0,1245,32,1,0,0,1,0,0,1,0,0,0
211,42011.0,18,46,131,0,16,2,1,39,8,0,3,11,0,189,12,1,0,0,1,0,0,0,1,0,0
212,51369.0,23,84,297,7,79,0,11,182,8,0,3,11,0,576,16,1,0,0,1,0,0,0,1,0,0
213,51537.0,22,27,787,20,204,0,0,92,8,0,3,11,0,1103,18,1,0,0,1,0,0,1,0,0,0
214,79930.0,26,72,792,86,740,67,51,17,2,0,3,11,0,1753,17,0,0,0,0,0,1,0,1,0,0
215,34320.0,7,66,4,1,9,3,0,0,8,0,3,11,0,17,4,1,0,0,0,0,1,0,1,0,0
216,37070.0,18,30,231,7,137,4,15,39,7,0,3,11,1,433,23,2,0,0,1,0,0,0,0,1,0
217,81975.0,21,2,983,76,184,180,138,27,7,0,3,11,0,1588,14,1,1,0,0,1,0,1,0,0,0
218,38590.0,16,65,3,1,8,4,3,3,8,0,3,11,0,22,4,1,0,0,1,0,0,0,1,0,0
219,15033.0,5,37,0,4,5,6,0,4,3,0,3,11,0,19,5,0,0,0,1,0,0,0,0,1,0
220,62745.0,18,89,562,21,464,28,10,32,5,0,3,11,0,1117,29,1,0,0,0,0,1,0,1,0,0
221,22212.0,9,49,5,9,20,6,8,21,6,0,3,11,0,69,8,1,0,0,0,1,0,0,1,0,0
222,23661.0,10,46,18,0,4,0,0,1,7,0,3,11,0,23,5,1,0,0,0,1,0,0,1,0,0
223,79761.0,12,32,415,5,124,15,35,11,3,0,3,11,0,605,19,1,0,0,0,0,1,0,0,1,0
224,7500.0,9,54,5,3,10,12,7,20,7,0,3,11,0,57,11,1,0,0,1,0,0,0,0,1,0
225,73455.0,11,98,901,61,757,186,163,20,3,0,3,11,0,2088,22,0,1,0,1,0,0,0,0,0,1
226,64961.0,21,97,382,114,276,75,124,38,3,0,3,11,0,1009,16,1,0,0,1,0,0,0,1,0,0
227,22804.0,14,75,14,1,7,2,1,1,9,0,3,11,0,26,5,1,0,0,1,0,0,0,0,1,0
228,73687.0,10,8,559,153,503,218,13,181,2,0,3,11,1,1627,22,0,1,0,1,0,0,0,1,0,0
229,61074.0,25,37,789,0,133,0,28,152,7,0,3,11,0,1102,31,1,0,0,1,0,0,0,1,0,0
230,31686.0,4,31,11,0,5,0,0,1,6,0,3,11,0,17,6,2,0,0,0,0,1,0,1,0,0
231,80134.0,16,40,1218,16,272,104,0,80,6,0,3,11,1,1690,16,1,3,0,1,0,0,0,1,0,0
232,75027.0,21,74,925,64,179,133,12,77,5,0,3,11,0,1390,21,1,0,0,1,0,0,0,1,0,0
233,67546.0,25,90,864,134,768,150,38,172,3,0,3,11,0,2126,20,0,0,0,0,0,1,0,1,0,0
234,65176.0,23,57,960,28,183,220,70,70,6,0,3,11,0,1531,25,1,0,0,0,1,0,0,1,0,0
235,31160.0,12,59,16,3,25,6,1,13,8,0,3,11,0,64,7,1,0,0,0,1,0,0,0,1,0
236,29938.0,11,52,3,3,7,0,2,11,6,0,3,11,0,26,6,1,0,0,1,0,0,0,0,1,0
